Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Disease
douleurs_abdominales,fievre,nausees,perte_appetit,vomissements,,,,,,,,,,,gastroenterite
brulures_estomac,douleurs_abdominales,nausees,sang_dans_selles,vomissements,,,,,,,,,,,ulcere_gastrique
abdomen_gonflé,fatigue,oedemes_jambes,palpitations,toux_nocturne,,,,,,,,,,,insuffisance_cardiaque
bourdonnements_oreilles,epistaxis,essoufflement,maux_de_tete,palpitations,vertiges,,,,,,,,,,hypertension
difficulte_a_avaler,fatigue,fievre,ganglions_gonfles,mal_gorge,maux_de_tete,,,,,,,,,,angine
anxiete,douleur_thoracique,essoufflement,fatigue,palpitations,syncope,vertiges,,,,,,,,,arythmie
essoufflement,fatigue,oedemes_jambes,palpitations,prise_de_poids,vertiges,,,,,,,,,,insuffisance_cardiaque
douleur_thoracique,fatigue,fievre,hemoptysie,perte_appetit,perte_de_poids,sueurs_nocturnes,toux_chronique,,,,,,,,tuberculose
eternuements,fatigue,maux_de_tete,obstruction_nasale,yeux_qui_piquent,,,,,,,,,,,rhinite_allergique
confusion_post_crise,fatigue_post_crise,incontinence,perte_conscience,,,,,,,,,,,,epilepsie
douleur_dos,fatigue,irradiation_jambe,limitation_mouvement,spasmes_musculaires,,,,,,,,,,,lombalgie
essoufflement,expectorations,fievre,sueurs_nocturnes,toux,,,,,,,,,,,pneumonie
chaleur_articulaire,douleurs_articulaires,fievre,gonflement_articulations,raideur_matinale,,,,,,,,,,,arthrite
anemie,douleurs_musculaires,fievre_cyclique,frissons,maux_de_tete,nausees,vomissements,,,,,,,,,paludisme
eruption_cutanee,fievre,maux_de_tete_intense,nausees,raideur_nuque,vomissements,,,,,,,,,,meningite
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,fatigue,,,,,,,,,,,syndrome_colon_irritable
douleurs_musculaires,fatigue,fievre,frissons,perte_appetit,,,,,,,,,,,grippe
aura_visuelle,maux_de_tete_intense,nausees,sensibilite_lumiere,vertiges,vomissements,,,,,,,,,,migraine
essoufflement,fatigue,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,,,asthme
douleurs_musculaires,fatigue,fievre,frissons,maux_de_tete,perte_appetit,,,,,,,,,,grippe
douleurs_musculaires,fatigue,mal_gorge,maux_de_tete,nez_qui_coule,perte_appetit,,,,,,,,,,grippe
faim_excessive,fatigue,fourmillements,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,,,diabete_type2
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,vomissements,,,,,,,,,,ulcere_gastrique
abdomen_gonflé,essoufflement,fatigue,oedemes_jambes,prise_de_poids,toux_nocturne,vertiges,,,,,,,,,insuffisance_cardiaque
douleurs_articulaires,fievre,gonflement_articulations,raideur_matinale,,,,,,,,,,,,arthrite
douleur_bras_gauche,douleur_thoracique,essoufflement,fatigue_extreme,nausees,sueurs_froides,,,,,,,,,,infarctus
abdomen_gonflé,fatigue,oedemes_jambes,prise_de_poids,toux_nocturne,,,,,,,,,,,insuffisance_cardiaque
aura,confusion_post_crise,convulsions,fatigue_post_crise,incontinence,morsure_langue,,,,,,,,,,epilepsie
bourdonnements_oreilles,epistaxis,maux_de_tete,palpitations,vertiges,vision_trouble,,,,,,,,,,hypertension
constipation,fatigue,frilosite,oedemes,peau_seche,prise_de_poids,,,,,,,,,,hypothyroidie
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,ulcere_gastrique
diarrhee,insomnie,palpitations,perte_de_poids,tremblements,,,,,,,,,,,hyperthyroidie
faim_excessive,fatigue,perte_de_poids,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,,,diabete_type2
douleur_position,irradiation_jambe,limitation_mouvement,raideur_dos,spasmes_musculaires,,,,,,,,,,,lombalgie
douleur_thoracique,essoufflement,expectorations,fievre,sueurs_nocturnes,toux,,,,,,,,,,pneumonie
croutes,demangeaisons,eruption_cutanee,peau_qui_suinte,peau_rouge,peau_seche,,,,,,,,,,eczema
diarrhee,douleurs_musculaires,fatigue,fievre,perte_odorat,toux_seche,,,,,,,,,,covid19
confusion,fievre,maux_de_tete_intense,nausees,photophobie,raideur_nuque,,,,,,,,,,meningite
anxiete,essoufflement,fatigue,palpitations,syncope,,,,,,,,,,,arythmie
douleur_dos,douleur_position,fatigue,irradiation_jambe,limitation_mouvement,raideur_dos,spasmes_musculaires,,,,,,,,,lombalgie
fatigue,fievre,mal_gorge,maux_de_tete,perte_appetit,,,,,,,,,,,grippe
cicatrisation_lente,faim_excessive,fatigue,fourmillements,perte_de_poids,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,diabete_type2
faim_excessive,fourmillements,perte_de_poids,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,,,diabete_type2
constipation,depression,fatigue,frilosite,oedemes,prise_de_poids,,,,,,,,,,hypothyroidie
anxiete,difficulte_a_parler,essoufflement,fatigue,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,asthme
demangeaisons,inflammation,peau_ecailleuse,plaques_peau,sensibilite_peau,,,,,,,,,,,psoriasis
aura_visuelle,fatigue,nausees,sensibilite_bruit,sensibilite_lumiere,,,,,,,,,,,migraine
douleur_thoracique,essoufflement,expectorations,fievre,maux_de_tete,,,,,,,,,,,pneumonie
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,sang_dans_selles,vomissements,,,,,,,,,,ulcere_gastrique
difficulte_a_avaler,ganglions_gonfles,mal_gorge,maux_de_tete,,,,,,,,,,,,angine
anxiete,difficulte_a_parler,essoufflement,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,,asthme
diarrhee,essoufflement,fatigue,fievre,mal_gorge,perte_odorat,toux_seche,,,,,,,,,covid19
douleur_thoracique,fatigue,fievre,hemoptysie,perte_appetit,sueurs_nocturnes,toux_chronique,,,,,,,,,tuberculose
bourdonnements_oreilles,essoufflement,fatigue,vertiges,,,,,,,,,,,,hypertension
difficulte_a_avaler,fatigue,fievre,ganglions_gonfles,mal_gorge,nausees,,,,,,,,,,angine
bradycardie,fatigue,frilosite,oedemes,prise_de_poids,,,,,,,,,,,hypothyroidie
anxiete,douleur_bras_gauche,douleur_thoracique,essoufflement,fatigue_extreme,nausees,sueurs_froides,vertiges,,,,,,,,infarctus
douleur_thoracique,essoufflement,expectorations,fievre,sifflement_respiratoire,toux,,,,,,,,,,bronchite
douleurs_musculaires,fatigue,fievre,frissons,maux_de_tete,perte_appetit,toux,,,,,,,,,grippe
douleur_dos,douleur_position,irradiation_jambe,raideur_dos,,,,,,,,,,,,lombalgie
alternance_diarrhee_constipation,ballonnements,douleurs_abdominales,fatigue,gaz,nausees,,,,,,,,,,syndrome_colon_irritable
aura,confusion_post_crise,convulsions,fatigue_post_crise,incontinence,morsure_langue,perte_conscience,,,,,,,,,epilepsie
diarrhee,douleur_abdominale_droite,fievre,nausees,perte_appetit,,,,,,,,,,,appendicite
exophtalmie,fatigue,insomnie,nervosité,palpitations,perte_de_poids,sudation_excessive,tremblements,,,,,,,,hyperthyroidie
anxiete,douleur_thoracique,essoufflement,fatigue,palpitations,syncope,vertiges,,,,,,,,,arythmie
douleur_position,fatigue,irradiation_jambe,limitation_mouvement,raideur_dos,spasmes_musculaires,,,,,,,,,,lombalgie
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_parole,trouble_vision,vertiges,,,,,,,,avc
anxiete,douleur_thoracique,fatigue,palpitations,vertiges,,,,,,,,,,,arythmie
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,trouble_parole,trouble_vision,vertiges,,,,,,,,,avc
faim_excessive,fatigue,fourmillements,perte_de_poids,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,,diabete_type2
douleur_thoracique,expectorations,fatigue,fievre,maux_de_tete,sueurs_nocturnes,toux,,,,,,,,,pneumonie
confusion,eruption_cutanee,fievre,maux_de_tete_intense,nausees,photophobie,raideur_nuque,vomissements,,,,,,,,meningite
chaleur_articulaire,douleurs_articulaires,fatigue,fievre,gonflement_articulations,perte_appetit,raideur_matinale,,,,,,,,,arthrite
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,sang_dans_selles,vomissements,,,,,,,,,,ulcere_gastrique
alternance_diarrhee_constipation,ballonnements,douleurs_abdominales,fatigue,gaz,nausees,,,,,,,,,,syndrome_colon_irritable
faim_excessive,fatigue,fourmillements,perte_de_poids,soif_excessive,vision_trouble,,,,,,,,,,diabete_type2
demangeaisons,eternuements,maux_de_tete,nez_qui_coule,obstruction_nasale,toux,yeux_qui_piquent,,,,,,,,,rhinite_allergique
douleur_thoracique,expectorations,fatigue,fievre,maux_de_tete,toux,,,,,,,,,,pneumonie
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,ulcere_gastrique
aura,convulsions,fatigue_post_crise,incontinence,morsure_langue,perte_conscience,,,,,,,,,,epilepsie
fatigue,fievre,ganglions_gonfles,mal_gorge,toux,,,,,,,,,,,angine
anxiete,douleur_thoracique,essoufflement,fatigue_extreme,nausees,sueurs_froides,vertiges,,,,,,,,,infarctus
douleurs_musculaires,essoufflement,fievre,perte_odorat,toux_seche,,,,,,,,,,,covid19
anxiete,difficulte_a_parler,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,,,asthme
difficulte_a_avaler,fievre,ganglions_gonfles,mal_gorge,maux_de_tete,nausees,,,,,,,,,,angine
douleur_thoracique,essoufflement,expectorations,sifflement_respiratoire,toux,,,,,,,,,,,bronchite
confusion,faiblesse_bras,paralysie_faciale,perte_equilibre,trouble_parole,trouble_vision,vertiges,,,,,,,,,avc
demangeaisons,peau_ecailleuse,plaques_peau,sensibilite_peau,,,,,,,,,,,,psoriasis
douleur_thoracique,essoufflement,expectorations,fatigue,fievre,sifflement_respiratoire,toux,,,,,,,,,bronchite
anxiete,douleur_thoracique,essoufflement,syncope,vertiges,,,,,,,,,,,arythmie
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,ulcere_gastrique
essoufflement,fatigue,palpitations,prise_de_poids,toux_nocturne,,,,,,,,,,,insuffisance_cardiaque
anxiete,difficulte_a_parler,essoufflement,fatigue,sifflement_respiratoire,toux_seche,,,,,,,,,,asthme
diarrhee,fatigue,fievre,mal_gorge,maux_de_tete,toux_seche,,,,,,,,,,covid19
crampes,douleurs_abdominales,fievre,nausees,perte_appetit,vomissements,,,,,,,,,,gastroenterite
douleur_thoracique,essoufflement,expectorations,fatigue,sifflement_respiratoire,toux,,,,,,,,,,bronchite
bradycardie,constipation,fatigue,peau_seche,prise_de_poids,,,,,,,,,,,hypothyroidie
douleur_thoracique,essoufflement,expectorations,fatigue,fievre,sifflement_respiratoire,toux,,,,,,,,,bronchite
abdomen_gonflé,essoufflement,fatigue,oedemes_jambes,palpitations,prise_de_poids,toux_nocturne,vertiges,,,,,,,,insuffisance_cardiaque
anemie,douleurs_musculaires,fievre_cyclique,frissons,maux_de_tete,sueurs,,,,,,,,,,paludisme
douleur_thoracique,essoufflement,expectorations,sifflement_respiratoire,toux,,,,,,,,,,,bronchite
faim_excessive,fatigue,perte_de_poids,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,,,diabete_type2
chaleur_articulaire,fievre,gonflement_articulations,limitation_mouvement,perte_appetit,raideur_matinale,,,,,,,,,,arthrite
eruption_cutanee,fievre,maux_de_tete_intense,nausees,raideur_nuque,vomissements,,,,,,,,,,meningite
demangeaisons,inflammation,ongles_epaissis,peau_ecailleuse,plaques_peau,sensibilite_peau,,,,,,,,,,psoriasis
brulures_estomac,douleurs_abdominales,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,,ulcere_gastrique
fatigue,jaunisse,selles_decolorees,urine_foncee,vomissements,,,,,,,,,,,hepatite
essoufflement,expectorations,fatigue,fievre,sifflement_respiratoire,toux,,,,,,,,,,bronchite
essoufflement,expectorations,fievre,sifflement_respiratoire,toux,,,,,,,,,,,bronchite
cicatrisation_lente,fourmillements,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,,,,diabete_type2
fatigue,maux_de_tete_intense,sensibilite_bruit,sensibilite_lumiere,vomissements,,,,,,,,,,,migraine
douleur_bras_gauche,douleur_thoracique,essoufflement,fatigue_extreme,nausees,sueurs_froides,vertiges,,,,,,,,,infarctus
douleur_thoracique,essoufflement,expectorations,fatigue,fievre,sifflement_respiratoire,toux,,,,,,,,,bronchite
difficulte_a_avaler,fievre,ganglions_gonfles,mal_gorge,toux,,,,,,,,,,,angine
demangeaisons,eternuements,fatigue,nez_qui_coule,obstruction_nasale,toux,yeux_qui_piquent,,,,,,,,,rhinite_allergique
anxiete,difficulte_a_parler,essoufflement,fatigue,sifflement_respiratoire,toux_seche,,,,,,,,,,asthme
constipation,diarrhee,douleur_abdominale_droite,fievre,perte_appetit,vomissements,,,,,,,,,,appendicite
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_vision,vertiges,,,,,,,,,avc
essoufflement,expectorations,fatigue,fievre,toux,,,,,,,,,,,pneumonie
demangeaisons,inflammation,ongles_epaissis,peau_ecailleuse,sensibilite_peau,,,,,,,,,,,psoriasis
aura_visuelle,fatigue,maux_de_tete_intense,nausees,sensibilite_bruit,sensibilite_lumiere,,,,,,,,,,migraine
bradycardie,constipation,depression,fatigue,prise_de_poids,,,,,,,,,,,hypothyroidie
diarrhee,insomnie,nervosité,palpitations,sudation_excessive,tremblements,,,,,,,,,,hyperthyroidie
demangeaisons,fatigue,nez_qui_coule,obstruction_nasale,yeux_qui_piquent,,,,,,,,,,,rhinite_allergique
faim_excessive,fatigue,fourmillements,perte_de_poids,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,,diabete_type2
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,ulcere_gastrique
essoufflement,fatigue,oedemes_jambes,palpitations,prise_de_poids,toux_nocturne,vertiges,,,,,,,,,insuffisance_cardiaque
croutes,demangeaisons,eruption_cutanee,peau_rouge,peau_seche,,,,,,,,,,,eczema
confusion,fievre,maux_de_tete_intense,nausees,raideur_nuque,vomissements,,,,,,,,,,meningite
diarrhee,douleur_abdominale_droite,douleur_au_mouvement,fievre,nausees,perte_appetit,vomissements,,,,,,,,,appendicite
difficulte_a_avaler,ganglions_gonfles,mal_gorge,toux,,,,,,,,,,,,angine
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_parole,trouble_vision,,,,,,,,,avc
croutes,demangeaisons,eruption_cutanee,inflammation,peau_seche,,,,,,,,,,,eczema
anemie,douleurs_musculaires,fievre_cyclique,frissons,maux_de_tete,vomissements,,,,,,,,,,paludisme
douleur_position,irradiation_jambe,limitation_mouvement,raideur_dos,,,,,,,,,,,,lombalgie
constipation,douleur_abdominale_droite,douleur_au_mouvement,nausees,perte_appetit,vomissements,,,,,,,,,,appendicite
aura_visuelle,fatigue,maux_de_tete_intense,nausees,sensibilite_bruit,sensibilite_lumiere,,,,,,,,,,migraine
douleur_thoracique,fatigue,fievre,hemoptysie,perte_appetit,perte_de_poids,sueurs_nocturnes,,,,,,,,,tuberculose
fatigue,insomnie,nervosité,perte_de_poids,sudation_excessive,tremblements,,,,,,,,,,hyperthyroidie
demangeaisons,douleurs_articulaires,inflammation,ongles_epaissis,peau_ecailleuse,plaques_peau,,,,,,,,,,psoriasis
brulures_estomac,douleurs_abdominales,faim_douloureuse,nausees,perte_de_poids,sang_dans_selles,vomissements,,,,,,,,,ulcere_gastrique
aura,confusion_post_crise,fatigue_post_crise,incontinence,morsure_langue,perte_conscience,,,,,,,,,,epilepsie
eternuements,nez_qui_coule,obstruction_nasale,toux,yeux_qui_piquent,,,,,,,,,,,rhinite_allergique
demangeaisons,eternuements,nez_qui_coule,yeux_qui_piquent,,,,,,,,,,,,rhinite_allergique
anxiete,douleur_bras_gauche,douleur_thoracique,essoufflement,sueurs_froides,vertiges,,,,,,,,,,infarctus
diarrhee,fatigue,insomnie,nervosité,palpitations,perte_de_poids,sudation_excessive,tremblements,,,,,,,,hyperthyroidie
anxiete,douleur_thoracique,fatigue,palpitations,syncope,vertiges,,,,,,,,,,arythmie
aura,confusion_post_crise,convulsions,fatigue_post_crise,perte_conscience,,,,,,,,,,,epilepsie
cheveux_cassants,constipation,depression,fatigue,peau_seche,prise_de_poids,,,,,,,,,,hypothyroidie
constipation,diarrhee,douleur_abdominale_droite,fievre,nausees,vomissements,,,,,,,,,,appendicite
difficulte_a_avaler,fievre,mal_gorge,maux_de_tete,toux,,,,,,,,,,,angine
diarrhee,douleurs_abdominales,fatigue,fievre,nausees,perte_appetit,vomissements,,,,,,,,,gastroenterite
douleur_thoracique,essoufflement,expectorations,fievre,sueurs_nocturnes,toux,,,,,,,,,,pneumonie
bradycardie,cheveux_cassants,constipation,depression,frilosite,peau_seche,prise_de_poids,,,,,,,,,hypothyroidie
douleur_thoracique,fatigue,fievre,hemoptysie,perte_appetit,perte_de_poids,sueurs_nocturnes,,,,,,,,,tuberculose
brulures_estomac,douleurs_abdominales,nausees,perte_de_poids,vomissements,,,,,,,,,,,ulcere_gastrique
diarrhee,douleurs_musculaires,fatigue,fievre,mal_gorge,maux_de_tete,perte_odorat,toux_seche,,,,,,,,covid19
douleur_thoracique,essoufflement,expectorations,fatigue,fievre,sifflement_respiratoire,toux,,,,,,,,,bronchite
douleur_thoracique,fatigue,fievre,hemoptysie,perte_de_poids,sueurs_nocturnes,toux_chronique,,,,,,,,,tuberculose
fatigue,fievre,jaunisse,perte_appetit,selles_decolorees,urine_foncee,vomissements,,,,,,,,,hepatite
douleur_thoracique,essoufflement,fievre,maux_de_tete,toux,,,,,,,,,,,pneumonie
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,trouble_parole,trouble_vision,vertiges,,,,,,,,,avc
douleurs_musculaires,frissons,maux_de_tete,nausees,sueurs,,,,,,,,,,,paludisme
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,fatigue,gaz,nausees,,,,,,,,,syndrome_colon_irritable
diarrhee,fievre,nausees,vomissements,,,,,,,,,,,,gastroenterite
douleur_position,irradiation_jambe,limitation_mouvement,raideur_dos,spasmes_musculaires,,,,,,,,,,,lombalgie
douleurs_musculaires,fatigue,fievre,maux_de_tete,nez_qui_coule,perte_appetit,toux,,,,,,,,,grippe
cicatrisation_lente,faim_excessive,fatigue,fourmillements,perte_de_poids,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,diabete_type2
aura_visuelle,maux_de_tete_intense,sensibilite_bruit,sensibilite_lumiere,,,,,,,,,,,,migraine
crampes,diarrhee,douleurs_abdominales,nausees,vomissements,,,,,,,,,,,gastroenterite
douleur_thoracique,essoufflement,fatigue,syncope,vertiges,,,,,,,,,,,arythmie
bourdonnements_oreilles,epistaxis,essoufflement,palpitations,vertiges,,,,,,,,,,,hypertension
demangeaisons,eternuements,maux_de_tete,nez_qui_coule,obstruction_nasale,toux,yeux_qui_piquent,,,,,,,,,rhinite_allergique
anxiete,douleur_bras_gauche,douleur_thoracique,essoufflement,fatigue_extreme,nausees,sueurs_froides,vertiges,,,,,,,,infarctus
douleur_thoracique,essoufflement,expectorations,fievre,maux_de_tete,sueurs_nocturnes,,,,,,,,,,pneumonie
eternuements,nez_qui_coule,toux,yeux_qui_piquent,,,,,,,,,,,,rhinite_allergique
fatigue,nausees,sensibilite_bruit,sensibilite_lumiere,,,,,,,,,,,,migraine
anxiete,douleur_thoracique,fatigue,palpitations,vertiges,,,,,,,,,,,arythmie
bradycardie,cheveux_cassants,constipation,depression,fatigue,peau_seche,prise_de_poids,,,,,,,,,hypothyroidie
douleurs_musculaires,fatigue,fievre,maux_de_tete,nez_qui_coule,perte_appetit,toux,,,,,,,,,grippe
eternuements,fatigue,nez_qui_coule,obstruction_nasale,yeux_qui_piquent,,,,,,,,,,,rhinite_allergique
bradycardie,constipation,depression,fatigue,frilosite,peau_seche,prise_de_poids,,,,,,,,,hypothyroidie
difficulte_a_parler,essoufflement,fatigue,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,,asthme
fatigue,fievre,frissons,maux_de_tete,nez_qui_coule,perte_appetit,toux,,,,,,,,,grippe
eruption_cutanee,fievre,maux_de_tete_intense,nausees,photophobie,raideur_nuque,,,,,,,,,,meningite
anemie,fievre_cyclique,frissons,maux_de_tete,nausees,sueurs,vomissements,,,,,,,,,paludisme
aura_visuelle,maux_de_tete_intense,nausees,sensibilite_bruit,sensibilite_lumiere,,,,,,,,,,,migraine
abdomen_gonflé,essoufflement,fatigue,oedemes_jambes,palpitations,prise_de_poids,toux_nocturne,vertiges,,,,,,,,insuffisance_cardiaque
anxiete,fatigue,palpitations,syncope,vertiges,,,,,,,,,,,arythmie
douleur_thoracique,essoufflement,expectorations,fatigue,fievre,maux_de_tete,sueurs_nocturnes,toux,,,,,,,,pneumonie
abdomen_gonflé,fatigue,oedemes_jambes,palpitations,prise_de_poids,toux_nocturne,vertiges,,,,,,,,,insuffisance_cardiaque
diarrhee,insomnie,nervosité,palpitations,sudation_excessive,tremblements,,,,,,,,,,hyperthyroidie
anxiete,difficulte_a_parler,essoufflement,fatigue,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,asthme
cicatrisation_lente,faim_excessive,fatigue,soif_excessive,urines_frequentes,,,,,,,,,,,diabete_type2
confusion,eruption_cutanee,fievre,maux_de_tete_intense,nausees,raideur_nuque,vomissements,,,,,,,,,meningite
demangeaisons,eruption_cutanee,inflammation,peau_rouge,peau_seche,sensibilite_peau,,,,,,,,,,eczema
maux_de_tete_intense,nausees,sensibilite_bruit,sensibilite_lumiere,vertiges,,,,,,,,,,,migraine
bradycardie,constipation,depression,frilosite,peau_seche,prise_de_poids,,,,,,,,,,hypothyroidie
cheveux_cassants,constipation,fatigue,frilosite,oedemes,prise_de_poids,,,,,,,,,,hypothyroidie
douleur_dos,douleur_position,fatigue,limitation_mouvement,,,,,,,,,,,,lombalgie
douleur_thoracique,essoufflement,expectorations,fatigue,fievre,sifflement_respiratoire,toux,,,,,,,,,bronchite
anxiete,douleur_thoracique,essoufflement,fatigue_extreme,nausees,sueurs_froides,vertiges,,,,,,,,,infarctus
demangeaisons,douleurs_articulaires,inflammation,plaques_peau,sensibilite_peau,,,,,,,,,,,psoriasis
cheveux_cassants,constipation,frilosite,oedemes,prise_de_poids,,,,,,,,,,,hypothyroidie
confusion,eruption_cutanee,fievre,maux_de_tete_intense,nausees,photophobie,raideur_nuque,vomissements,,,,,,,,meningite
douleur_thoracique,essoufflement,expectorations,fatigue,fievre,sifflement_respiratoire,toux,,,,,,,,,bronchite
fatigue,fievre,jaunisse,nausees,selles_decolorees,urine_foncee,vomissements,,,,,,,,,hepatite
douleurs_musculaires,fatigue,fievre,frissons,maux_de_tete,nez_qui_coule,perte_appetit,,,,,,,,,grippe
fievre,ganglions_gonfles,mal_gorge,toux,,,,,,,,,,,,angine
anxiete,difficulte_a_parler,essoufflement,fatigue,oppression_thoracique,sifflement_respiratoire,toux_seche,,,,,,,,,asthme
insomnie,nervosité,perte_de_poids,sudation_excessive,tremblements,,,,,,,,,,,hyperthyroidie
anxiete,douleur_thoracique,fatigue,palpitations,syncope,vertiges,,,,,,,,,,arythmie
douleurs_musculaires,fatigue,fievre,nez_qui_coule,perte_appetit,toux,,,,,,,,,,grippe
douleur_dos,fatigue,limitation_mouvement,spasmes_musculaires,,,,,,,,,,,,lombalgie
abdomen_gonflé,essoufflement,oedemes_jambes,palpitations,prise_de_poids,toux_nocturne,vertiges,,,,,,,,,insuffisance_cardiaque
faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,trouble_parole,trouble_vision,,,,,,,,,,,avc
bourdonnements_oreilles,epistaxis,essoufflement,maux_de_tete,palpitations,vertiges,vision_trouble,,,,,,,,,hypertension
essoufflement,fatigue,oedemes_jambes,prise_de_poids,toux_nocturne,vertiges,,,,,,,,,,insuffisance_cardiaque
diarrhee,douleurs_musculaires,fatigue,fievre,mal_gorge,maux_de_tete,perte_odorat,toux_seche,,,,,,,,covid19
eruption_cutanee,fievre,maux_de_tete_intense,nausees,photophobie,raideur_nuque,,,,,,,,,,meningite
difficulte_a_avaler,fatigue,ganglions_gonfles,mal_gorge,nausees,toux,,,,,,,,,,angine
douleur_dos,douleur_position,fatigue,irradiation_jambe,limitation_mouvement,spasmes_musculaires,,,,,,,,,,lombalgie
anxiete,douleur_thoracique,essoufflement,fatigue,palpitations,syncope,vertiges,,,,,,,,,arythmie
difficulte_a_avaler,fievre,mal_gorge,maux_de_tete,nausees,toux,,,,,,,,,,angine
douleur_thoracique,essoufflement,expectorations,fatigue,sifflement_respiratoire,toux,,,,,,,,,,bronchite
anemie,douleurs_musculaires,fatigue,fievre_cyclique,frissons,maux_de_tete,sueurs,vomissements,,,,,,,,paludisme
confusion,faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,perte_equilibre,trouble_parole,trouble_vision,,,,,,,,,avc
douleurs_musculaires,fatigue,fievre_cyclique,frissons,maux_de_tete,nausees,sueurs,vomissements,,,,,,,,paludisme
douleurs_musculaires,fievre_cyclique,frissons,maux_de_tete,nausees,sueurs,,,,,,,,,,paludisme
anxiete,difficulte_a_parler,essoufflement,fatigue,oppression_thoracique,sifflement_respiratoire,,,,,,,,,,asthme
bourdonnements_oreilles,epistaxis,maux_de_tete,palpitations,,,,,,,,,,,,hypertension
demangeaisons,douleurs_articulaires,inflammation,ongles_epaissis,peau_ecailleuse,plaques_peau,sensibilite_peau,,,,,,,,,psoriasis
douleur_dos,fatigue,irradiation_jambe,raideur_dos,spasmes_musculaires,,,,,,,,,,,lombalgie
abdomen_gonflé,essoufflement,fatigue,oedemes_jambes,palpitations,toux_nocturne,vertiges,,,,,,,,,insuffisance_cardiaque
eternuements,fatigue,nez_qui_coule,obstruction_nasale,yeux_qui_piquent,,,,,,,,,,,rhinite_allergique
croutes,demangeaisons,eruption_cutanee,peau_qui_suinte,peau_rouge,peau_seche,,,,,,,,,,eczema
diarrhee,fievre,nausees,vomissements,,,,,,,,,,,,appendicite
cicatrisation_lente,faim_excessive,soif_excessive,urines_frequentes,vision_trouble,,,,,,,,,,,diabete_type2
demangeaisons,douleurs_articulaires,inflammation,ongles_epaissis,plaques_peau,,,,,,,,,,,psoriasis
abdomen_gonflé,essoufflement,fatigue,oedemes_jambes,toux_nocturne,vertiges,,,,,,,,,,insuffisance_cardiaque
crampes,diarrhee,douleurs_abdominales,nausees,vomissements,,,,,,,,,,,gastroenterite
chaleur_articulaire,douleurs_articulaires,fievre,gonflement_articulations,raideur_matinale,,,,,,,,,,,arthrite
abdomen_gonflé,essoufflement,oedemes_jambes,palpitations,prise_de_poids,toux_nocturne,vertiges,,,,,,,,,insuffisance_cardiaque
faiblesse_bras,maux_de_tete_soudain,paralysie_faciale,trouble_parole,vertiges,,,,,,,,,,,avc
alternance_diarrhee_constipation,ballonnements,crampes,douleurs_abdominales,fatigue,gaz,nausees,,,,,,,,,syndrome_colon_irritable
bradycardie,cheveux_cassants,constipation,fatigue,frilosite,oedemes,prise_de_poids,,,,,,,,,hypothyroidie
aura,confusion_post_crise,convulsions,fatigue_post_crise,incontinence,morsure_langue,perte_conscience,,,,,,,,,epilepsie
maux_de_tete_intense,nausees,sensibilite_bruit,sensibilite_lumiere,vomissements,,,,,,,,,,,migraine
